#LOCATIONS
0;-0.055;-0.785
1;0.095;-0.595
2;0.19;-0.48
3;0.065;-0.395
4;0.165;-0.245
5;0.285;-0.34
6;0.365;-0.4
7;0.435;-0.4
8;0.445;-0.275
9;0.57;-0.28
10;0.565;-0.42
11;0.68;-0.43
12;0.695;-0.215
13;0.81;-0.225
14;0.795;-0.425
15;0.885;-0.43
16;0.885;-0.515
17;0.79;-0.52
18;0.695;-0.515
19;0.57;-0.51
20;0.43;-0.51
21;0.57;-0.2
22;0.7;-0.09
23;0.57;-0.1
24;0.58;-0.025
25;0.46;-0.025
26;0.44;-0.225
27;0.3;-0.225
28;0.82;-0.11
29;0.895;-0.12
30;0.895;-0.23
31;0.9;-0.05
32;0.9;0.055
33;0.825;0.055
34;0.71;0.065
35;0.82;0.215
36;1.15;0.29
37;1.155;0.405
38;1.27;0.505
39;1.07;0.585
40;0.625;0.605
41;0.62;0.5
42;1.07;0.335
43;0.605;0.41
44;0.585;0.18
45;0.475;0.18
46;0.66;0.76
47;0.85;0.685
48;1.045;0.7
49;1.155;0.89
50;0.92;0.865
51;0.89;0.795
52;0.68;0.875
53;1.17;0.69
54;1.24;0.73
55;1.315;0.68
56;1.39;0.695
57;1.395;0.77
58;1.315;0.815
59;1.4;0.945
60;1.3;1.01
61;1.51;1.035
62;1.51;1.13
63;1.585;1.075
64;1.575;0.93
65;1.545;0.845
66;1.4;0.89
67;1.495;0.715
68;1.435;0.56
69;0.71;0.125
70;0.715;0.175
71;0.585;0.125
72;0.575;0.085
73;0.465;0.09
74;0.39;0.08
75;0.34;0.0
76;0.785;1.05
77;0.73;1.065
78;0.71;0.99
79;0.425;1.06
80;0.45;1.15
81;1.355;1.205
82;1.24;1.355
83;1.145;1.375
84;0.82;1.165
85;0.745;1.15
86;0.49;0.415
87;0.48;0.33
88;0.415;0.33
89;0.375;0.42
90;0.365;0.365
91;0.22;0.37
92;0.22;0.3
93;0.265;0.245
94;0.41;0.155
95;0.225;0.19
96;0.075;0.285
97;0.125;0.355
98;0.165;0.435
99;0.195;0.55
100;0.49;0.525
101;-0.035;0.485
102;0.015;0.565
103;0.4;0.96
104;0.455;0.79
105;0.5;0.64
106;0.2;0.645
107;0.225;1.205
108;0.175;1.0
109;0.225;0.995
110;0.27;0.98
111;0.335;0.965
112;0.36;1.11
113;0.305;1.125
114;0.255;1.14
115;0.305;0.87
116;0.34;0.785
117;0.225;0.79
118;0.17;0.8
119;0.115;0.805
120;0.07;0.625
121;0.07;1.25
122;0.055;1.29
123;-0.11;1.29
124;-0.285;1.21
125;-0.34;1.03
126;-0.09;1.225
127;-0.18;1.16
128;-0.3;1.025
129;0.12;1.19
130;0.13;1.1
131;0.12;1.01
132;0.07;0.975
133;0.055;1.08
134;0.115;1.05
135;-0.015;1.095
136;0.015;0.95
137;-0.135;1.125
138;-0.04;1.16
139;-0.145;1.08
140;-0.15;1.025
141;-0.075;1.01
142;-0.08;0.96
143;-0.145;0.975
144;0.02;0.905
145;0.07;0.815
146;-0.175;0.835
147;-0.245;0.935
148;-0.26;1.0
149;-0.175;0.945
150;-0.165;0.89
151;-0.1;0.88
152;-0.275;0.845
153;-0.17;0.8
154;-0.085;0.75
155;-0.135;0.665
156;-0.185;0.59
157;-0.33;0.63
158;-0.29;0.755
159;-0.355;0.965
160;-0.38;0.865
161;-0.64;0.945
162;-0.61;1.055
163;-0.42;1.095
164;-0.585;1.135
165;-0.55;1.225
166;-0.435;1.19
167;-0.37;1.175
168;-0.525;1.31
